Experiment,ID,GrowthEnvironment,Pop,PTF,DTB,GTF,Year,FlowDate,PlantDate,GermDate,HeightFFcm,Vernalized,DaysVern,TimesVern,Flowered,FlowWoVern,Seedstock,GermLocation,Geography,Taxonomy,SubSpecies,Species,Habitat,SpecificOrigin,RegionOrigin
Cult2013,ADOL1,greenhouse,ADOL,NA,NA,NA,2013,NA,2013-01-07,2013-01-14,NA,No,NA,NA,No,NA,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,ADOL2,greenhouse,ADOL,74,NA,66,2013,03/22/13,2013-01-07,2013-01-15,43.8,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,ADOL3,greenhouse,ADOL,75,NA,68,2013,03/23/13,2013-01-07,2013-01-14,34.5,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,ADOL4,greenhouse,ADOL,93,NA,84,2013,04/10/13,2013-01-07,2013-01-16,14.2,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,ADOL5,greenhouse,ADOL,86,NA,79,2013,04/03/13,2013-01-07,2013-01-14,32.1,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,ADOL6,greenhouse,ADOL,66,NA,59,2013,03/14/13,2013-01-07,2013-01-14,57,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,ADOL7,greenhouse,ADOL,140,NA,133,2013,05/27/13,2013-01-07,2013-01-14,30.6,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,ADOL8,greenhouse,ADOL,73,NA,66,2013,03/21/13,2013-01-07,2013-01-14,33.2,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,ADOL9,greenhouse,ADOL,64,NA,56,2013,03/12/13,2013-01-07,2013-01-15,33,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,ADOL10,greenhouse,ADOL,68,NA,60,2013,03/16/13,2013-01-07,2013-01-15,27.7,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,AROL1,greenhouse,AROL,58,NA,44,2013,03/06/13,2013-01-07,2013-01-21,43.4,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,AROL2,greenhouse,AROL,56,NA,42,2013,03/04/13,2013-01-07,2013-01-21,44.5,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,AROL3,greenhouse,AROL,50,NA,37,2013,02/26/13,2013-01-07,2013-01-20,63.6,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,AROL4,greenhouse,AROL,76,NA,63,2013,03/24/13,2013-01-07,2013-01-20,57.5,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,AROL5,greenhouse,AROL,61,NA,52,2013,03/09/13,2013-01-07,2013-01-16,68.8,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,AROL6,greenhouse,AROL,61,NA,54,2013,03/09/13,2013-01-07,2013-01-14,56.8,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,AROL7,greenhouse,AROL,68,NA,57,2013,03/16/13,2013-01-07,2013-01-18,76.5,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,AROL8,greenhouse,AROL,51,NA,40,2013,02/27/13,2013-01-07,2013-01-18,53.5,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,AROL9,greenhouse,AROL,47,NA,40,2013,02/23/13,2013-01-07,2013-01-14,56,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,AROL10,greenhouse,AROL,67,NA,39,2013,03/15/13,2013-01-07,2013-02-04,43.3,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,CBBG1,greenhouse,CBBG,102,NA,98,2013,04/19/13,2013-01-07,2013-01-11,44.3,No,NA,NA,Yes,Yes,Nursery,InGH,NA,european,sativus,sativus,cultivar,BountifulGardens,european
Cult2013,CBBG2,greenhouse,CBBG,98,NA,94,2013,04/15/13,2013-01-07,2013-01-11,50,No,NA,NA,Yes,Yes,Nursery,InGH,NA,european,sativus,sativus,cultivar,BountifulGardens,european
Cult2013,CBBG3,greenhouse,CBBG,83,NA,79,2013,03/31/13,2013-01-07,2013-01-11,45.3,No,NA,NA,Yes,Yes,Nursery,InGH,NA,european,sativus,sativus,cultivar,BountifulGardens,european
Cult2013,CBBG4,greenhouse,CBBG,100,NA,96,2013,04/17/13,2013-01-07,2013-01-11,77.1,No,NA,NA,Yes,Yes,Nursery,InGH,NA,european,sativus,sativus,cultivar,BountifulGardens,european
Cult2013,CBBG5,greenhouse,CBBG,123,NA,119,2013,05/10/13,2013-01-07,2013-01-11,72.4,No,NA,NA,Yes,Yes,Nursery,InGH,NA,european,sativus,sativus,cultivar,BountifulGardens,european
Cult2013,CBBG6,greenhouse,CBBG,107,NA,103,2013,04/24/13,2013-01-07,2013-01-11,54,No,NA,NA,Yes,Yes,Nursery,InGH,NA,european,sativus,sativus,cultivar,BountifulGardens,european
Cult2013,CBBG7,greenhouse,CBBG,70,NA,66,2013,03/18/13,2013-01-07,2013-01-11,62.6,No,NA,NA,Yes,Yes,Nursery,InGH,NA,european,sativus,sativus,cultivar,BountifulGardens,european
Cult2013,CBBG8,greenhouse,CBBG,91,NA,87,2013,04/08/13,2013-01-07,2013-01-11,63.3,No,NA,NA,Yes,Yes,Nursery,InGH,NA,european,sativus,sativus,cultivar,BountifulGardens,european
Cult2013,CBBG9,greenhouse,CBBG,84,NA,80,2013,04/01/13,2013-01-07,2013-01-11,73.2,No,NA,NA,Yes,Yes,Nursery,InGH,NA,european,sativus,sativus,cultivar,BountifulGardens,european
Cult2013,CBBG10,greenhouse,CBBG,116,NA,112,2013,05/03/13,2013-01-07,2013-01-11,13.2,No,NA,NA,Yes,Yes,Nursery,InGH,NA,european,sativus,sativus,cultivar,BountifulGardens,european
Cult2013,COOL1,greenhouse,COOL,49,NA,42,2013,02/25/13,2013-01-07,2013-01-14,58.7,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,COOL2,greenhouse,COOL,60,NA,49,2013,03/08/13,2013-01-07,2013-01-18,68.8,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
Cult2013,COOL3,greenhouse,COOL,61,NA,50,2013,03/09/13,2013-01-07,2013-01-18,76.5,No,NA,NA,Yes,Yes,Nursery,InGH,NA,oleifera,sativus,sativus,cultivar,MSU,oleifera
